station_name,lat,lng
14th Ave at Geary Blvd,37.7810483,-122.4653783
Market St at Steuart St,37.7944659,-122.3947991
23rd Ave at Clement St,37.7821146,-122.4827523
In Chan Kaajal Park,37.7639631,-122.4157476
Delancey St at Brannan St,37.7836262,-122.3898681
Potrero Hill,37.7597412,-122.4011391
Financial District/South Beach,37.7936658,-122.3964729
Inner Richmond,37.7808535,-122.4664321
Sunset/Parkside,37.7389229,-122.4943071
Montgomery St BART,37.7894171,-122.401109
South Park St at 3rd St,37.7807183,-122.3950843
Francisco St at Columbus Ave,37.8043547,-122.4161315
Terry Francois Blvd at Warriors Way,37.769006,-122.3863379
Union Square,37.787552,-122.4066183
